Alabama , 2020-06-14 , -8 , -14
Alabama , 2020-06-15 , -3 , -27
Alabama , 2020-06-16 , -3 , -26
Alabama , 2020-06-17 , 1 , -28
Alabama , 2020-06-18 , -4 , -27
Alabama , 2020-06-19 , -6 , -29
Alabama , 2020-06-20 , -6 , -7
Alaska , 2020-06-14 , 18 , -8
Alaska , 2020-06-15 , 14 , -26
Alaska , 2020-06-16 , 13 , -25
Alaska , 2020-06-17 , 12 , -26
Alaska , 2020-06-18 , 8 , -26
Alaska , 2020-06-19 , 3 , -26
Alaska , 2020-06-20 , 2 , -10
Arizona , 2020-06-14 , -20 , -12
Arizona , 2020-06-15 , -17 , -37
Arizona , 2020-06-16 , -17 , -37
Arizona , 2020-06-17 , -17 , -38
Arizona , 2020-06-18 , -17 , -38
Arizona , 2020-06-19 , -21 , -38
Arizona , 2020-06-20 , -25 , -14
Arkansas , 2020-06-14 , -3 , -11
Arkansas , 2020-06-15 , -1 , -28
Arkansas , 2020-06-16 , 0 , -28
Arkansas , 2020-06-17 , 1 , -28
Arkansas , 2020-06-18 , 0 , -28
Arkansas , 2020-06-19 , -2 , -29
Arkansas , 2020-06-20 , -9 , -7
California , 2020-06-14 , -32 , -16
California , 2020-06-15 , -29 , -39
California , 2020-06-16 , -29 , -40
California , 2020-06-17 , -29 , -41
California , 2020-06-18 , -28 , -41
California , 2020-06-19 , -30 , -40
California , 2020-06-20 , -31 , -14
Colorado , 2020-06-14 , -13 , -13
Colorado , 2020-06-15 , -10 , -35
Colorado , 2020-06-16 , -10 , -38
Colorado , 2020-06-17 , -10 , -39
Colorado , 2020-06-18 , -11 , -40
Colorado , 2020-06-19 , -16 , -39
Colorado , 2020-06-20 , -18 , -12
Connecticut , 2020-06-14 , -12 , -9
Connecticut , 2020-06-15 , -8 , -37
Connecticut , 2020-06-16 , -8 , -38
Connecticut , 2020-06-17 , -7 , -38
Connecticut , 2020-06-18 , -8 , -38
Connecticut , 2020-06-19 , -12 , -37
Connecticut , 2020-06-20 , -11 , -10
Delaware , 2020-06-14 , -2 , -12
Delaware , 2020-06-15 , 0 , -34
Delaware , 2020-06-16 , 1 , -35
Delaware , 2020-06-17 , -3 , -36
Delaware , 2020-06-18 , -1 , -36
Delaware , 2020-06-19 , -5 , -38
Delaware , 2020-06-20 , -5 , -9
District of Columbia , 2020-06-14 , -52 , -23
District of Columbia , 2020-06-15 , -51 , -59
District of Columbia , 2020-06-16 , -50 , -60
District of Columbia , 2020-06-17 , -55 , -62
District of Columbia , 2020-06-18 , -51 , -61
District of Columbia , 2020-06-19 , -50 , -58
District of Columbia , 2020-06-20 , -58 , -22
Florida , 2020-06-14 , -22 , -17
Florida , 2020-06-15 , -19 , -32
Florida , 2020-06-16 , -18 , -32
Florida , 2020-06-17 , -19 , -33
Florida , 2020-06-18 , -20 , -33
Florida , 2020-06-19 , -21 , -34
Florida , 2020-06-20 , -21 , -15
Georgia , 2020-06-14 , -15 , -17
Georgia , 2020-06-15 , -11 , -34
Georgia , 2020-06-16 , -9 , -35
Georgia , 2020-06-17 , -7 , -35
Georgia , 2020-06-18 , -8 , -35
Georgia , 2020-06-19 , -11 , -35
Georgia , 2020-06-20 , -11 , -10
Hawaii , 2020-06-14 , -37 , -27
Hawaii , 2020-06-15 , -35 , -34
Hawaii , 2020-06-16 , -35 , -34
Hawaii , 2020-06-17 , -34 , -34
Hawaii , 2020-06-18 , -35 , -34
Hawaii , 2020-06-19 , -34 , -33
Hawaii , 2020-06-20 , -33 , -24
Idaho , 2020-06-14 , 11 , -11
Idaho , 2020-06-15 , 7 , -24
Idaho , 2020-06-16 , 6 , -29
Idaho , 2020-06-17 , 6 , -28
Idaho , 2020-06-18 , 8 , -29
Idaho , 2020-06-19 , 3 , -29
Idaho , 2020-06-20 , -3 , -8
Illinois , 2020-06-14 , -18 , -12
Illinois , 2020-06-15 , -15 , -38
Illinois , 2020-06-16 , -13 , -38
Illinois , 2020-06-17 , -13 , -39
Illinois , 2020-06-18 , -13 , -38
Illinois , 2020-06-19 , -17 , -38
Illinois , 2020-06-20 , -20 , -10
Indiana , 2020-06-14 , 0 , -10
Indiana , 2020-06-15 , 3 , -28
Indiana , 2020-06-16 , 2 , -29
Indiana , 2020-06-17 , 3 , -29
Indiana , 2020-06-18 , 2 , -29
Indiana , 2020-06-19 , -2 , -30
Indiana , 2020-06-20 , -2 , -9
Iowa , 2020-06-14 , 1 , -6
Iowa , 2020-06-15 , -2 , -28
Iowa , 2020-06-16 , -4 , -30
Iowa , 2020-06-17 , -2 , -29
Iowa , 2020-06-18 , -5 , -30
Iowa , 2020-06-19 , -1 , -29
Iowa , 2020-06-20 , -7 , -4
Kansas , 2020-06-14 , 0 , -9
Kansas , 2020-06-15 , -4 , -29
Kansas , 2020-06-16 , -2 , -31
Kansas , 2020-06-17 , 0 , -30
Kansas , 2020-06-18 , -5 , -32
Kansas , 2020-06-19 , -2 , -29
Kansas , 2020-06-20 , -11 , -6
Kentucky , 2020-06-14 , -8 , -13
Kentucky , 2020-06-15 , -3 , -30
Kentucky , 2020-06-16 , -3 , -31
Kentucky , 2020-06-17 , -3 , -31
Kentucky , 2020-06-18 , -6 , -32
Kentucky , 2020-06-19 , -8 , -33
Kentucky , 2020-06-20 , -9 , -9
Louisiana , 2020-06-14 , -13 , -16
Louisiana , 2020-06-15 , -9 , -26
Louisiana , 2020-06-16 , -5 , -27
Louisiana , 2020-06-17 , -4 , -28
Louisiana , 2020-06-18 , -6 , -29
Louisiana , 2020-06-19 , -11 , -30
Louisiana , 2020-06-20 , -14 , -14
Maine , 2020-06-14 , 1 , -3
Maine , 2020-06-15 , -1 , -29
Maine , 2020-06-16 , -1 , -29
Maine , 2020-06-17 , 2 , -30
Maine , 2020-06-18 , 2 , -30
Maine , 2020-06-19 , -5 , -33
Maine , 2020-06-20 , -8 , -10
Maryland , 2020-06-14 , -19 , -16
Maryland , 2020-06-15 , -16 , -42
Maryland , 2020-06-16 , -13 , -43
Maryland , 2020-06-17 , -19 , -45
Maryland , 2020-06-18 , -16 , -44
Maryland , 2020-06-19 , -20 , -43
Maryland , 2020-06-20 , -22 , -13
Massachusetts , 2020-06-14 , -21 , -12
Massachusetts , 2020-06-15 , -18 , -45
Massachusetts , 2020-06-16 , -18 , -45
Massachusetts , 2020-06-17 , -17 , -45
Massachusetts , 2020-06-18 , -18 , -44
Massachusetts , 2020-06-19 , -22 , -44
Massachusetts , 2020-06-20 , -24 , -15
Michigan , 2020-06-14 , -5 , -9
Michigan , 2020-06-15 , -2 , -35
Michigan , 2020-06-16 , -2 , -36
Michigan , 2020-06-17 , 1 , -36
Michigan , 2020-06-18 , -1 , -36
Michigan , 2020-06-19 , -11 , -37
Michigan , 2020-06-20 , -11 , -7
Minnesota , 2020-06-14 , -10 , -10
Minnesota , 2020-06-15 , -7 , -38
Minnesota , 2020-06-16 , -6 , -38
Minnesota , 2020-06-17 , -5 , -38
Minnesota , 2020-06-18 , -12 , -39
Minnesota , 2020-06-19 , -11 , -38
Minnesota , 2020-06-20 , -18 , -6
Mississippi , 2020-06-14 , -1 , -13
Mississippi , 2020-06-15 , 5 , -24
Mississippi , 2020-06-16 , 6 , -25
Mississippi , 2020-06-17 , 8 , -26
Mississippi , 2020-06-18 , 2 , -26
Mississippi , 2020-06-19 , -4 , -27
Mississippi , 2020-06-20 , -1 , -10
Missouri , 2020-06-14 , 0 , -8
Missouri , 2020-06-15 , -1 , -31
Missouri , 2020-06-16 , -2 , -32
Missouri , 2020-06-17 , 7 , -30
Missouri , 2020-06-18 , -1 , -32
Missouri , 2020-06-19 , 2 , -24
Missouri , 2020-06-20 , -9 , -6
Montana , 2020-06-14 , 8 , -8
Montana , 2020-06-15 , 11 , -21
Montana , 2020-06-16 , 8 , -23
Montana , 2020-06-17 , 7 , -24
Montana , 2020-06-18 , 9 , -23
Montana , 2020-06-19 , 2 , -25
Montana , 2020-06-20 , -1 , -9
Nebraska , 2020-06-14 , -8 , -7
Nebraska , 2020-06-15 , -2 , -30
Nebraska , 2020-06-16 , -4 , -30
Nebraska , 2020-06-17 , -2 , -30
Nebraska , 2020-06-18 , -9 , -31
Nebraska , 2020-06-19 , -4 , -30
Nebraska , 2020-06-20 , -10 , -7
Nevada , 2020-06-14 , -17 , -27
Nevada , 2020-06-15 , -15 , -35
Nevada , 2020-06-16 , -12 , -36
Nevada , 2020-06-17 , -12 , -37
Nevada , 2020-06-18 , -14 , -37
Nevada , 2020-06-19 , -17 , -38
Nevada , 2020-06-20 , -20 , -25
New Hampshire , 2020-06-14 , -3 , -7
New Hampshire , 2020-06-15 , 2 , -34
New Hampshire , 2020-06-16 , 3 , -34
New Hampshire , 2020-06-17 , 3 , -34
New Hampshire , 2020-06-18 , 2 , -34
New Hampshire , 2020-06-19 , -4 , -35
New Hampshire , 2020-06-20 , -7 , -10
New Jersey , 2020-06-14 , -34 , -13
New Jersey , 2020-06-15 , -26 , -43
New Jersey , 2020-06-16 , -26 , -44
New Jersey , 2020-06-17 , -27 , -44
New Jersey , 2020-06-18 , -28 , -45
New Jersey , 2020-06-19 , -29 , -43
New Jersey , 2020-06-20 , -29 , -13
New Mexico , 2020-06-14 , -13 , -11
New Mexico , 2020-06-15 , -9 , -34
New Mexico , 2020-06-16 , -8 , -34
New Mexico , 2020-06-17 , -9 , -34
New Mexico , 2020-06-18 , -8 , -35
New Mexico , 2020-06-19 , -12 , -33
New Mexico , 2020-06-20 , -17 , -13
New York , 2020-06-14 , -34 , -17
New York , 2020-06-15 , -32 , -43
New York , 2020-06-16 , -31 , -43
New York , 2020-06-17 , -31 , -43
New York , 2020-06-18 , -31 , -43
New York , 2020-06-19 , -33 , -44
New York , 2020-06-20 , -33 , -16
North Carolina , 2020-06-14 , -12 , -15
North Carolina , 2020-06-15 , -13 , -34
North Carolina , 2020-06-16 , -16 , -34
North Carolina , 2020-06-17 , -11 , -34
North Carolina , 2020-06-18 , -11 , -33
North Carolina , 2020-06-19 , -12 , -33
North Carolina , 2020-06-20 , -13 , -10
North Dakota , 2020-06-14 , -3 , -7
North Dakota , 2020-06-15 , 5 , -23
North Dakota , 2020-06-16 , 4 , -25
North Dakota , 2020-06-17 , 5 , -25
