,marrec,aprrec,mayrec,junrec,marwork,aprwork,maywork,junwork,marrecstates,aprrecstates,mayrecstates,junrecstates,marworkstates,aprworkstates,mayworkstates,junworkstates
0,-32.714285714285715,-33.142857142857146,-11.714285714285714,-4.142857142857143,-32.142857142857146,-38.42857142857143,-27.428571428571427,-22.571428571428573,1,1,2,2,1,1,1,2
1,-38.857142857142854,-34.57142857142857,-3.7142857142857144,10.0,-35.42857142857143,-38.57142857142857,-26.571428571428573,-21.0,1,1,2,3,1,1,1,2
2,-35.142857142857146,-39.142857142857146,-25.857142857142858,-19.142857142857142,-36.714285714285715,-43.714285714285715,-36.142857142857146,-30.571428571428573,1,1,2,2,1,1,1,1
3,-30.857142857142858,-25.285714285714285,-9.857142857142858,-2.0,-31.857142857142858,-34.142857142857146,-26.428571428571427,-22.714285714285715,1,2,2,2,1,1,1,2
4,-44.42857142857143,-52.0,-45.42857142857143,-29.714285714285715,-46.285714285714285,-48.142857142857146,-41.0,-33.0,1,1,1,1,1,1,1,1
5,-43.0,-49.714285714285715,-27.714285714285715,-12.571428571428571,-45.142857142857146,-50.857142857142854,-39.142857142857146,-30.857142857142858,1,1,1,2,1,1,1,1
6,-44.285714285714285,-47.142857142857146,-30.285714285714285,-9.428571428571429,-42.857142857142854,-49.42857142857143,-40.142857142857146,-29.571428571428573,1,1,1,2,1,1,1,1
7,-41.0,-43.714285714285715,-27.571428571428573,-2.142857142857143,-40.142857142857146,-46.857142857142854,-38.285714285714285,-28.571428571428573,1,1,1,2,1,1,1,1
8,-60.0,-65.71428571428571,-59.57142857142857,-52.42857142857143,-59.0,-63.714285714285715,-58.57142857142857,-49.285714285714285,0,0,0,1,0,0,0,1
9,-41.285714285714285,-48.285714285714285,-31.571428571428573,-20.0,-38.42857142857143,-46.42857142857143,-36.0,-28.0,1,1,1,2,1,1,1,1
10,-35.714285714285715,-37.285714285714285,-18.285714285714285,-10.285714285714286,-37.57142857142857,-45.142857142857146,-34.714285714285715,-28.714285714285715,1,1,2,2,1,1,1,1
11,-47.714285714285715,-55.0,-45.57142857142857,-34.714285714285715,-42.142857142857146,-48.714285714285715,-40.285714285714285,-31.428571428571427,1,0,1,1,1,1,1,1
12,-32.714285714285715,-32.857142857142854,-13.714285714285714,5.428571428571429,-35.57142857142857,-40.142857142857146,-29.857142857142858,-22.571428571428573,1,1,2,3,1,1,1,2
13,-50.142857142857146,-46.42857142857143,-34.714285714285715,-15.571428571428571,-46.142857142857146,-47.857142857142854,-41.57142857142857,-30.428571428571427,1,1,1,2,1,1,1,1
14,-41.714285714285715,-39.285714285714285,-16.714285714285715,0.8571428571428571,-39.285714285714285,-43.857142857142854,-32.57142857142857,-23.428571428571427,1,1,2,3,1,1,1,2
15,-41.857142857142854,-41.57142857142857,-22.428571428571427,-2.857142857142857,-31.857142857142858,-37.42857142857143,-30.714285714285715,-22.285714285714285,1,1,2,2,1,1,1,2
16,-36.42857142857143,-39.0,-20.571428571428573,-3.4285714285714284,-33.857142857142854,-41.142857142857146,-31.285714285714285,-23.714285714285715,1,1,2,2,1,1,1,2
17,-35.57142857142857,-35.857142857142854,-21.142857142857142,-5.714285714285714,-36.142857142857146,-42.57142857142857,-34.42857142857143,-25.571428571428573,1,1,2,2,1,1,1,2
18,-40.714285714285715,-38.714285714285715,-23.285714285714285,-8.857142857142858,-38.0,-41.42857142857143,-31.714285714285715,-24.285714285714285,1,1,2,2,1,1,1,2
19,-41.142857142857146,-44.285714285714285,-24.285714285714285,-1.4285714285714286,-36.714285714285715,-43.0,-32.857142857142854,-23.428571428571427,1,1,2,2,1,1,1,2
20,-40.0,-44.0,-31.428571428571427,-17.857142857142858,-45.142857142857146,-51.57142857142857,-45.0,-35.142857142857146,1,1,1,2,1,1,1,1
21,-47.714285714285715,-52.714285714285715,-38.42857142857143,-19.714285714285715,-49.57142857142857,-55.57142857142857,-47.57142857142857,-35.714285714285715,1,1,1,2,1,0,1,1
22,-52.857142857142854,-55.714285714285715,-32.57142857142857,-4.428571428571429,-50.0,-56.142857142857146,-44.142857142857146,-28.0,1,0,1,2,1,0,1,1
23,-43.857142857142854,-46.857142857142854,-30.857142857142858,-9.857142857142858,-39.714285714285715,-46.42857142857143,-39.714285714285715,-29.571428571428573,1,1,1,2,1,1,1,1
24,-29.0,-28.714285714285715,-7.0,2.142857142857143,-30.857142857142858,-37.714285714285715,-26.857142857142858,-21.571428571428573,1,1,2,3,1,1,1,2
25,-38.857142857142854,-37.57142857142857,-16.285714285714285,-0.5714285714285714,-35.857142857142854,-41.142857142857146,-31.428571428571427,-23.285714285714285,1,1,2,2,1,1,1,2
26,-38.57142857142857,-41.714285714285715,-10.857142857142858,6.285714285714286,-34.0,-38.857142857142854,-24.857142857142858,-19.0,1,1,2,3,1,1,2,2
27,-34.857142857142854,-39.142857142857146,-18.857142857142858,-5.571428571428571,-30.0,-38.0,-30.714285714285715,-23.571428571428573,1,1,2,2,1,1,1,2
28,-42.857142857142854,-45.714285714285715,-31.714285714285715,-15.285714285714286,-50.142857142857146,-53.0,-44.857142857142854,-33.57142857142857,1,1,1,2,1,1,1,1
29,-40.142857142857146,-43.0,-24.142857142857142,-0.5714285714285714,-39.142857142857146,-46.285714285714285,-37.42857142857143,-26.857142857142858,1,1,2,2,1,1,1,1
30,-51.857142857142854,-63.0,-46.142857142857146,-28.428571428571427,-51.714285714285715,-57.714285714285715,-46.714285714285715,-35.0,1,0,1,1,1,0,1,1
31,-39.0,-39.57142857142857,-26.285714285714285,-10.857142857142858,-39.0,-43.0,-35.714285714285715,-27.714285714285715,1,1,1,2,1,1,1,1
32,-56.0,-64.57142857142857,-49.857142857142854,-32.142857142857146,-52.142857142857146,-57.57142857142857,-47.285714285714285,-35.57142857142857,0,0,1,1,1,0,1,1
33,-34.285714285714285,-36.714285714285715,-22.142857142857142,-12.571428571428571,-34.0,-42.714285714285715,-34.0,-27.571428571428573,1,1,2,2,1,1,1,1
34,-41.714285714285715,-43.714285714285715,-14.285714285714286,0.2857142857142857,-27.857142857142858,-34.714285714285715,-24.714285714285715,-19.142857142857142,1,1,2,3,1,1,2,2
35,-43.285714285714285,-41.57142857142857,-23.857142857142858,-4.0,-41.857142857142854,-45.285714285714285,-34.857142857142854,-25.571428571428573,1,1,2,2,1,1,1,2
36,-30.285714285714285,-30.857142857142858,-9.571428571428571,-0.5714285714285714,-32.57142857142857,-38.857142857142854,-28.428571428571427,-23.142857142857142,1,1,2,2,1,1,1,2
37,-45.42857142857143,-39.857142857142854,-30.714285714285715,-13.714285714285714,-42.42857142857143,-44.42857142857143,-38.57142857142857,-31.142857142857142,1,1,1,2,1,1,1,1
38,-48.42857142857143,-48.857142857142854,-32.285714285714285,-14.0,-46.57142857142857,-49.142857142857146,-39.42857142857143,-29.857142857142858,1,1,1,2,1,1,1,1
39,-41.42857142857143,-45.714285714285715,-26.571428571428573,-2.142857142857143,-40.285714285714285,-48.57142857142857,-39.714285714285715,-29.285714285714285,1,1,1,2,1,1,1,1
40,-33.857142857142854,-34.857142857142854,-13.285714285714286,-2.7142857142857144,-31.428571428571427,-40.714285714285715,-30.285714285714285,-23.428571428571427,1,1,2,2,1,1,1,2
41,-34.142857142857146,-41.142857142857146,-13.571428571428571,8.0,-25.714285714285715,-36.42857142857143,-26.285714285714285,-18.714285714285715,1,1,2,3,2,1,1,2
42,-34.857142857142854,-34.0,-11.142857142857142,-1.2857142857142858,-34.57142857142857,-41.0,-29.714285714285715,-23.714285714285715,1,1,2,2,1,1,1,2
43,-38.142857142857146,-38.57142857142857,-22.285714285714285,-12.714285714285714,-38.714285714285715,-43.857142857142854,-35.0,-29.428571428571427,1,1,2,2,1,1,1,1
44,-35.857142857142854,-37.42857142857143,-18.0,-7.428571428571429,-38.57142857142857,-44.285714285714285,-36.42857142857143,-30.0,1,1,2,2,1,1,1,1
45,-48.714285714285715,-52.714285714285715,-35.142857142857146,-10.285714285714286,-45.0,-51.857142857142854,-41.57142857142857,-29.428571428571427,1,1,1,2,1,1,1,1
46,-36.57142857142857,-40.714285714285715,-29.0,-16.857142857142858,-39.857142857142854,-46.42857142857143,-40.142857142857146,-32.42857142857143,1,1,1,2,1,1,1,1
47,-44.857142857142854,-41.57142857142857,-31.714285714285715,-16.857142857142858,-47.0,-50.857142857142854,-42.42857142857143,-34.42857142857143,1,1,1,2,1,1,1,1
48,-40.142857142857146,-37.142857142857146,-15.0,-0.5714285714285714,-35.857142857142854,-39.57142857142857,-29.714285714285715,-23.0,1,1,2,2,1,1,1,2
49,-49.285714285714285,-46.714285714285715,-29.0,-3.2857142857142856,-38.0,-41.714285714285715,-34.0,-23.285714285714285,1,1,1,2,1,1,1,2
50,-36.285714285714285,-39.0,-12.142857142857142,10.0,-31.857142857142858,-35.0,-24.285714285714285,-19.0,1,1,2,3,1,1,2,2
