Region,Region ID,MarCases,AprCases,MayCases,JunCases,MarHome,AprHome,MayHome,JunHome,MarTest,AprTest,MayTest,JunTest
Alabama,1,0,1,1,1,0,1,0,0,0,0,0,0
Alaska,2,0,1,0,0,0,1,0,0,1,1,1,1
Arizona,3,0,0,0,0,0,1,1,0,0,0,0,0
Arkansas,4,0,0,0,0,0,0,0,0,0,0,1,0
California,5,0,0,0,0,1,1,0,0,0,0,1,1
Colorado,6,0,0,1,0,0,1,0,0,0,0,0,1
Conneticut,7,0,0,0,1,0,1,1,0,0,0,0,1
Delaware,8,0,0,0,0,0,1,1,0,0,0,0,1
Florida,9,0,1,0,0,0,1,0,0,0,0,1,0
Georgia,10,0,0,1,0,0,1,0,0,0,0,0,0
Hawaii,11,0,1,1,0,0,1,1,0,1,1,1,1
Idaha,12,0,1,0,0,0,1,0,0,0,0,0,1
Illinois,13,0,0,1,0,1,1,1,0,0,0,0,1
Indiana,14,0,0,0,1,0,1,0,0,0,0,0,1
Iowa,15,0,0,1,0,0,0,0,0,1,0,0,0
Kansas,16,0,0,1,0,0,1,0,0,0,0,0,1
Kentucky,17,0,0,0,0,0,1,1,0,0,0,1,1
Louisana,18,0,1,0,1,0,1,1,0,0,0,0,1
Maine,19,0,1,0,1,0,1,1,0,0,1,0,1
Maryland,20,0,0,0,1,0,1,1,0,0,0,0,0
Massachusetts,21,0,0,0,1,0,1,1,0,0,0,0,1
Michigan,22,0,1,0,0,0,1,1,0,0,0,0,1
Minnesota,23,0,0,0,0,0,1,1,0,1,0,0,1
Mississippi,24,0,0,0,1,0,1,0,0,0,0,0,0
Missouri,25,0,1,0,0,0,1,0,0,0,0,1,1
Montana,26,0,1,0,0,0,1,0,0,1,1,1,1
Nebraska,27,0,0,0,0,0,0,0,0,1,0,0,0
Nevada,28,0,1,0,0,0,1,0,0,0,0,1,1
New Hampshire,29,0,0,1,1,0,1,1,1,1,0,0,1
New Jersey,30,0,0,1,0,1,1,1,0,0,0,0,1
New Mexico,31,0,0,0,0,0,1,1,0,1,0,1,1
New York,32,0,1,1,1,1,1,1,0,0,0,0,1
North Carolina,33,0,0,0,0,0,1,1,0,0,0,0,0
North Dakota,34,0,0,0,0,0,0,0,0,1,1,1,1
Ohio,35,0,0,1,0,0,1,1,0,1,0,0,1
Oklahoma,36,0,1,0,0,0,0,0,0,0,1,1,0
Oregon,37,0,1,1,0,0,1,1,0,1,1,1,1
Pennsylvania,38,0,1,1,0,0,1,1,0,0,0,0,1
Rhode Island,39,0,0,1,1,0,1,0,0,0,0,0,1
South Carolina,40,0,0,0,0,0,1,0,0,0,0,0,0
South Dakota,41,0,1,1,1,0,0,0,0,0,0,0,0
Tennessee,42,0,1,1,0,0,1,0,0,0,0,1,1
Texas,43,0,1,0,0,0,1,0,0,0,0,0,0
Utah,44,0,0,0,0,0,0,0,0,1,0,1,0
Vermont,45,0,1,1,0,0,1,1,0,0,1,1,1
Virginia,46,0,0,0,0,0,1,1,0,0,0,0,1
Washington,47,0,0,0,0,0,1,1,0,0,0,0,1
West Virginia,48,0,0,0,0,0,1,0,0,0,1,1,1
Wisconsin,49,0,0,0,0,0,1,1,0,0,0,0,1
Wyoming,50,0,1,0,0,0,0,0,0,1,1,1,1
